iter	Passed	Remaining
0	146	146049
1	147	73597
2	148	49482
3	150	37450
4	151	30232
5	153	25371
6	154	21934
7	155	19342
8	157	17319
9	158	15708
10	160	14386
11	161	13301
12	162	12371
13	164	11580
14	165	10884
15	167	10286
16	168	9764
17	170	9314
18	172	8894
19	174	8526
20	175	8189
21	177	7880
22	179	7605
23	180	7343
24	182	7105
25	183	6881
26	185	6670
27	186	6486
28	188	6316
29	190	6151
30	191	5997
31	193	5865
32	195	5736
33	197	5607
34	199	5488
35	200	5379
36	202	5272
37	204	5166
38	206	5079
39	208	4992
40	209	4908
41	211	4830
42	213	4759
43	216	4699
44	218	4636
45	220	4569
46	222	4512
47	224	4455
48	227	4412
49	229	4358
50	231	4305
51	233	4254
52	234	4195
53	236	4151
54	238	4102
55	240	4047
56	241	4001
57	244	3964
58	246	3926
59	248	3888
60	250	3851
61	252	3815
62	254	3783
63	257	3765
64	260	3748
65	263	3733
66	266	3716
67	268	3682
68	271	3667
69	274	3649
70	276	3621
71	278	3594
72	280	3567
73	283	3543
74	284	3513
75	287	3489
76	289	3466
77	290	3438
78	293	3419
79	295	3397
80	297	3374
81	300	3369
82	303	3348
83	305	3333
84	307	3308
85	309	3291
86	311	3268
87	313	3250
88	315	3231
89	318	3215
90	320	3201
91	322	3185
92	324	3169
93	327	3152
94	328	3133
95	331	3122
96	333	3106
97	336	3093
98	338	3080
99	340	3065
100	349	3112
101	350	3087
102	352	3068
103	353	3049
104	355	3033
105	357	3018
106	359	3001
107	361	2985
108	363	2971
109	365	2958
110	367	2945
111	370	2935
112	372	2924
113	375	2918
114	377	2906
115	379	2894
116	382	2887
117	385	2882
118	387	2869
119	390	2861
120	393	2861
121	397	2857
122	399	2845
123	402	2840
124	404	2834
125	407	2826
126	410	2818
127	411	2804
128	414	2795
129	416	2788
130	418	2778
131	421	2769
132	423	2761
133	426	2758
134	429	2750
135	431	2741
136	434	2735
137	437	2730
138	440	2730
139	445	2734
140	449	2735
141	453	2737
142	457	2739
143	460	2738
144	463	2731
145	466	2729
146	470	2730
147	474	2731
148	478	2734
149	482	2735
150	486	2734
151	490	2737
152	494	2738
153	497	2734
154	501	2732
155	503	2726
156	507	2723
157	509	2717
158	512	2711
159	516	2709
160	519	2705
161	521	2699
162	524	2691
163	526	2685
164	529	2679
165	532	2675
166	535	2669
167	537	2662
168	540	2655
169	542	2648
170	545	2644
171	548	2639
172	551	2634
173	553	2629
174	556	2624
175	559	2618
176	561	2611
177	564	2605
178	566	2598
179	568	2590
180	569	2578
181	572	2571
182	574	2565
183	577	2562
184	581	2559
185	583	2554
186	586	2550
187	589	2545
188	591	2539
189	594	2535
190	597	2531
191	601	2530
192	604	2526
193	607	2521
194	609	2516
195	612	2511
196	614	2505
197	617	2503
198	620	2499
199	623	2495
200	626	2489
201	628	2484
202	631	2477
203	634	2475
204	637	2471
205	639	2465
206	641	2458
207	644	2455
208	647	2451
209	650	2448
210	653	2442
211	655	2437
212	658	2431
213	660	2426
214	663	2421
215	665	2416
216	668	2413
217	671	2408
218	673	2402
219	676	2397
220	679	2394
221	681	2389
222	684	2384
223	686	2378
224	689	2373
225	691	2368
226	693	2363
227	696	2357
228	698	2352
229	701	2347
230	704	2344
231	706	2339
232	709	2334
233	711	2330
234	714	2326
235	717	2321
236	718	2314
237	721	2310
238	723	2304
239	725	2297
240	727	2292
241	730	2286
242	732	2281
243	734	2276
244	737	2271
245	739	2266
246	741	2261
247	743	2255
248	746	2250
249	748	2245
250	751	2242
251	753	2237
252	756	2232
253	758	2228
254	761	2223
255	763	2219
256	765	2213
257	767	2207
258	770	2203
259	772	2199
260	775	2194
261	777	2190
262	779	2185
263	782	2180
264	784	2175
265	786	2170
266	789	2166
267	791	2161
268	793	2155
269	795	2149
270	797	2145
271	811	2171
272	812	2163
273	814	2157
274	816	2151
275	817	2145
276	819	2138
277	821	2132
278	822	2126
279	824	2120
280	826	2114
281	828	2109
282	830	2103
283	832	2097
284	834	2092
285	835	2086
286	837	2081
287	839	2076
288	842	2071
289	844	2067
290	846	2062
291	848	2057
292	850	2051
293	852	2045
294	853	2040
295	855	2034
296	857	2029
297	859	2024
298	861	2019
299	863	2014
300	865	2009
301	866	2003
302	868	1998
303	870	1993
304	872	1987
305	873	1981
306	875	1975
307	876	1969
308	878	1963
309	879	1957
310	880	1951
311	882	1946
312	884	1941
313	885	1935
314	887	1930
315	889	1925
316	891	1920
317	892	1914
318	894	1909
319	896	1904
320	898	1900
321	900	1895
322	902	1891
323	904	1886
324	906	1882
325	908	1878
326	910	1873
327	912	1868
328	913	1863
329	915	1858
330	917	1853
331	919	1849
332	921	1845
333	923	1842
334	926	1838
335	928	1834
336	930	1829
337	931	1824
338	933	1819
339	934	1814
340	935	1808
341	937	1803
342	938	1798
343	940	1792
344	941	1787
345	942	1782
346	944	1776
347	945	1771
348	947	1766
349	948	1760
350	949	1755
351	950	1750
352	952	1746
353	954	1741
354	956	1738
355	958	1733
356	960	1729
357	961	1725
358	963	1720
359	964	1715
360	966	1710
361	967	1706
362	969	1702
363	971	1697
364	973	1693
365	974	1688
366	976	1684
367	978	1680
368	980	1676
369	982	1672
370	984	1668
371	985	1664
372	987	1660
373	990	1657
374	991	1653
375	993	1648
376	995	1644
377	997	1640
378	998	1636
379	1000	1631
380	1001	1627
381	1003	1623
382	1005	1619
383	1006	1615
384	1008	1611
385	1010	1606
386	1012	1603
387	1014	1599
388	1016	1595
389	1017	1591
390	1019	1587
391	1020	1583
392	1022	1579
393	1023	1574
394	1025	1570
395	1027	1566
396	1028	1562
397	1030	1557
398	1031	1553
399	1033	1549
400	1034	1545
401	1036	1542
402	1038	1538
403	1040	1535
404	1042	1531
405	1044	1528
406	1046	1525
407	1049	1522
408	1051	1520
409	1054	1517
410	1056	1514
411	1059	1511
412	1061	1508
413	1063	1505
414	1065	1501
415	1068	1499
416	1070	1496
417	1072	1493
418	1075	1490
419	1077	1487
420	1079	1484
421	1082	1482
422	1085	1480
423	1087	1477
424	1090	1474
425	1092	1472
426	1095	1469
427	1097	1466
428	1099	1463
429	1101	1460
430	1104	1457
431	1106	1454
432	1109	1452
433	1111	1449
434	1113	1446
435	1115	1443
436	1117	1440
437	1120	1437
438	1122	1433
439	1124	1430
440	1126	1428
441	1129	1425
442	1131	1422
443	1133	1418
444	1135	1416
445	1137	1412
446	1139	1409
447	1141	1405
448	1143	1402
449	1144	1398
450	1145	1395
451	1147	1391
452	1148	1387
453	1150	1383
454	1151	1379
455	1152	1375
456	1154	1371
457	1155	1367
458	1157	1363
459	1158	1359
460	1160	1356
461	1161	1352
462	1162	1348
463	1164	1345
464	1166	1342
465	1168	1338
466	1169	1335
467	1171	1331
468	1172	1327
469	1173	1323
470	1175	1319
471	1176	1316
472	1177	1312
473	1179	1308
474	1180	1305
475	1181	1301
476	1183	1297
477	1184	1293
478	1186	1290
479	1187	1286
480	1188	1282
481	1190	1279
482	1191	1275
483	1192	1271
484	1194	1268
485	1196	1265
486	1198	1262
487	1200	1259
488	1201	1255
489	1203	1252
490	1204	1248
491	1205	1245
492	1207	1241
493	1208	1238
494	1210	1234
495	1211	1230
496	1212	1227
497	1214	1223
498	1215	1220
499	1217	1217
500	1218	1213
501	1219	1210
502	1221	1206
503	1222	1203
504	1224	1200
