iter	Passed	Remaining
0	2	2301
1	3	1970
2	6	2138
3	8	2053
4	10	2009
5	12	2071
6	14	2035
7	15	1975
8	18	2000
9	21	2087
10	22	2040
11	24	2053
12	26	2037
13	28	2006
14	30	1989
15	32	1995
16	34	1985
17	38	2073
18	39	2057
19	41	2034
20	43	2041
21	45	2037
22	47	2023
23	49	2021
24	51	2017
25	53	2014
26	56	2021
27	58	2016
28	59	2002
29	61	1983
30	63	1969
31	64	1960
32	66	1946
33	68	1932
34	69	1924
35	71	1912
36	73	1901
37	74	1890
38	76	1884
39	78	1877
40	79	1866
41	81	1856
42	82	1844
43	84	1832
44	85	1818
45	87	1809
46	89	1806
47	90	1801
48	92	1793
49	94	1788
50	95	1778
51	97	1771
52	98	1765
53	100	1757
54	101	1752
55	103	1745
56	105	1741
57	106	1737
58	108	1731
59	109	1723
60	111	1715
61	113	1710
62	114	1702
63	116	1696
64	117	1688
65	118	1682
66	120	1682
67	122	1678
68	123	1671
69	125	1667
70	127	1664
71	128	1659
72	130	1652
73	131	1644
74	133	1641
75	134	1636
76	136	1630
77	137	1626
78	139	1626
79	141	1625
80	142	1621
81	144	1619
82	145	1608
83	147	1608
84	149	1609
85	151	1612
86	153	1612
87	155	1609
88	157	1609
89	159	1610
90	160	1606
91	162	1605
92	164	1605
93	166	1604
94	168	1606
95	170	1605
96	172	1601
97	173	1596
98	175	1595
99	177	1595
100	179	1595
101	181	1596
102	183	1597
103	185	1598
104	187	1599
105	189	1598
106	191	1599
107	193	1601
108	196	1604
109	198	1605
110	200	1606
111	202	1608
112	205	1611
113	207	1613
114	209	1614
115	211	1614
116	213	1614
117	216	1617
118	218	1616
119	220	1617
120	222	1618
121	224	1614
122	226	1616
123	229	1617
124	231	1618
125	233	1619
126	235	1616
127	237	1616
128	239	1614
129	240	1611
130	242	1606
131	243	1602
132	245	1599
133	246	1595
134	248	1590
135	249	1587
136	251	1583
137	252	1579
138	254	1576
139	256	1573
140	257	1569
141	258	1562
142	260	1560
143	262	1560
144	264	1560
145	266	1557
146	267	1554
147	269	1553
148	271	1551
149	273	1548
150	275	1548
151	277	1548
152	280	1551
153	282	1551
154	284	1550
155	286	1550
156	288	1550
157	290	1550
158	292	1548
159	295	1548
160	296	1545
161	298	1543
162	300	1540
163	302	1539
164	304	1538
165	306	1539
166	309	1541
167	311	1542
168	314	1544
169	316	1545
170	319	1550
171	322	1552
172	324	1553
173	327	1553
174	329	1555
175	332	1556
176	334	1556
177	336	1555
178	338	1554
179	340	1553
180	343	1553
181	345	1553
182	348	1554
183	350	1554
184	352	1554
185	354	1553
186	357	1552
187	359	1551
188	361	1549
189	363	1550
190	365	1549
191	367	1548
192	370	1547
193	371	1545
194	373	1543
195	376	1544
196	379	1545
197	381	1546
198	384	1546
199	386	1545
200	389	1547
201	391	1548
202	393	1546
203	396	1545
204	398	1544
205	400	1542
206	402	1540
207	404	1540
208	406	1539
209	409	1539
210	411	1537
211	413	1536
212	415	1535
213	417	1533
214	419	1531
215	421	1530
216	423	1528
217	425	1526
218	427	1524
219	429	1522
220	431	1520
221	433	1519
222	435	1517
223	437	1515
224	439	1514
225	441	1513
226	443	1511
227	446	1511
228	448	1508
229	449	1506
230	451	1503
231	453	1502
232	455	1499
233	457	1496
234	459	1495
235	461	1493
236	463	1491
237	465	1489
238	467	1487
239	469	1485
240	470	1483
241	473	1481
242	474	1479
243	477	1478
244	479	1478
245	482	1477
246	485	1480
247	488	1480
248	491	1481
249	492	1478
250	495	1478
251	497	1477
252	500	1476
253	502	1476
254	505	1475
255	507	1474
256	509	1472
257	511	1471
258	513	1468
259	515	1466
260	517	1465
261	519	1463
262	522	1463
263	524	1462
264	526	1461
265	529	1460
266	531	1458
267	533	1455
268	534	1453
269	537	1452
270	539	1450
271	541	1448
272	543	1447
273	545	1444
274	547	1442
275	549	1440
276	551	1438
277	552	1435
278	554	1433
279	556	1431
280	558	1429
281	560	1427
282	562	1425
283	564	1423
284	566	1421
285	568	1418
286	570	1416
287	571	1413
288	573	1410
289	575	1408
290	577	1406
291	579	1404
292	581	1402
293	583	1400
294	585	1398
295	587	1396
296	588	1393
297	590	1390
298	592	1388
299	594	1386
300	595	1383
301	597	1381
302	599	1378
303	600	1375
304	602	1372
305	603	1369
306	605	1367
307	607	1364
308	608	1361
309	610	1359
310	612	1357
311	614	1355
312	616	1352
313	618	1350
314	619	1347
315	621	1345
316	623	1343
317	625	1341
318	627	1339
319	629	1337
320	632	1336
321	634	1335
322	636	1334
323	638	1332
324	640	1330
325	643	1329
326	645	1328
327	647	1326
328	649	1325
329	651	1323
330	653	1321
331	656	1320
332	658	1318
333	660	1316
334	662	1315
335	664	1313
336	666	1311
337	668	1310
338	671	1308
339	673	1307
340	676	1306
341	678	1304
342	680	1304
343	682	1302
344	685	1300
345	687	1299
346	689	1297
347	691	1296
348	694	1294
349	695	1292
350	697	1290
351	699	1288
352	702	1286
353	704	1285
354	706	1283
355	708	1281
356	710	1279
357	712	1277
358	714	1275
359	715	1272
360	717	1270
361	719	1268
362	720	1265
363	722	1262
364	724	1260
365	726	1258
366	728	1255
367	730	1253
368	731	1251
369	733	1248
370	735	1246
371	736	1244
372	738	1241
373	740	1238
374	741	1235
375	743	1233
376	744	1230
377	746	1228
378	748	1226
379	750	1224
380	752	1222
381	754	1220
382	756	1217
383	757	1215
384	759	1212
385	761	1210
386	762	1208
387	764	1206
388	767	1204
389	769	1202
390	770	1200
391	773	1199
392	775	1197
393	777	1196
394	780	1195
395	782	1193
396	784	1191
397	786	1190
398	789	1189
399	791	1187
400	793	1185
401	795	1184
402	798	1182
403	800	1180
404	801	1177
405	803	1175
406	805	1173
407	807	1171
408	809	1169
409	811	1167
410	813	1165
411	814	1162
412	816	1160
413	818	1158
414	820	1156
415	821	1153
416	823	1151
417	825	1149
418	827	1147
419	829	1145
420	831	1143
421	833	1141
422	835	1139
423	837	1137
424	839	1135
425	841	1133
426	843	1131
427	845	1130
428	847	1128
429	849	1125
430	851	1123
431	852	1121
432	854	1119
433	856	1116
434	857	1114
435	859	1112
436	861	1110
437	863	1108
438	865	1105
439	867	1104
440	869	1102
441	871	1100
442	873	1097
443	875	1095
444	876	1093
445	878	1091
446	880	1088
447	881	1086
448	883	1083
449	885	1081
450	887	1079
451	888	1077
452	890	1075
453	892	1073
454	894	1071
455	896	1069
456	898	1067
457	899	1064
458	901	1062
459	903	1060
460	905	1058
461	906	1055
462	908	1053
463	909	1050
464	911	1048
465	913	1046
466	914	1044
467	916	1041
468	917	1039
469	919	1036
470	920	1034
471	922	1031
472	924	1030
473	926	1027
474	927	1025
475	929	1023
476	931	1021
477	933	1019
478	935	1017
479	937	1015
480	939	1013
481	940	1011
482	942	1008
483	944	1006
484	946	1004
485	948	1002
486	950	1000
487	951	998
488	953	996
489	956	995
490	958	993
491	960	991
492	961	989
493	963	986
494	965	984
495	966	982
496	968	979
497	970	977
498	971	975
499	972	972
500	974	970
501	976	968
502	977	965
503	979	963
504	980	961
505	982	959
506	984	956
507	985	954
508	987	952
509	988	949
510	989	947
511	991	944
512	992	942
513	994	939
514	995	937
515	997	935
516	998	932
517	1000	930
518	1001	928
519	1003	926
520	1004	923
521	1006	921
522	1008	919
523	1009	916
524	1010	914
525	1012	912
526	1013	909
527	1015	907
528	1016	905
529	1018	903
530	1020	901
531	1021	898
532	1023	897
533	1026	895
534	1028	893
535	1029	891
536	1031	889
537	1032	886
538	1034	884
539	1035	882
540	1037	880
541	1039	878
542	1040	876
543	1042	874
544	1044	872
545	1046	869
546	1047	867
547	1049	865
548	1050	863
549	1052	861
550	1054	858
551	1056	857
552	1058	855
553	1060	853
554	1062	851
555	1063	849
556	1065	847
557	1067	845
558	1069	843
559	1070	841
560	1072	839
561	1074	837
562	1075	835
563	1077	832
564	1078	830
565	1080	828
566	1082	826
567	1084	824
568	1086	822
569	1088	820
570	1090	819
571	1092	817
572	1094	815
573	1095	813
574	1097	811
575	1099	809
576	1101	807
577	1103	805
578	1104	803
579	1107	801
580	1108	799
581	1110	797
582	1113	796
583	1114	794
584	1116	792
585	1118	790
586	1120	788
587	1121	786
588	1123	784
589	1125	782
590	1127	780
591	1129	778
592	1130	776
593	1132	774
594	1134	772
595	1135	770
596	1137	767
597	1139	765
598	1140	763
599	1142	761
600	1144	759
601	1145	757
602	1147	755
603	1149	753
604	1151	751
605	1152	749
606	1154	747
607	1156	745
608	1158	743
609	1160	741
610	1161	739
611	1163	737
612	1165	735
613	1167	733
614	1169	732
615	1171	730
616	1173	728
617	1175	726
618	1178	725
619	1180	723
620	1182	721
621	1184	719
622	1187	718
623	1189	716
624	1191	715
625	1194	713
626	1196	711
627	1198	709
628	1200	708
629	1203	706
630	1205	704
631	1207	703
632	1209	701
633	1212	699
634	1214	697
635	1216	695
636	1218	694
637	1220	692
638	1222	690
639	1224	689
640	1227	687
641	1229	685
642	1231	683
643	1233	681
644	1239	682
645	1241	680
646	1243	678
647	1245	676
648	1247	674
649	1249	673
650	1252	671
651	1254	669
652	1256	667
653	1258	665
654	1261	664
655	1263	662
656	1265	660
657	1268	659
658	1270	657
659	1272	655
660	1274	653
661	1275	651
662	1277	649
663	1279	647
664	1280	645
665	1282	643
666	1284	641
667	1286	639
668	1288	637
669	1290	635
670	1292	633
671	1293	631
672	1295	629
673	1296	627
674	1298	625
675	1300	623
676	1302	621
677	1303	619
678	1305	617
679	1306	614
680	1308	612
681	1309	610
682	1311	608
